908218	293212	357025
43457	121655	912143
241853	594387	386639
94594	464351	692508
369855	189712	445125
367148	958465	498497
920183	581426	293732
987619	177650	731674
418464	872366	353548
22152	6059	573370
989831	655837	470180
935656	897843	398067
643760	733845	83720
573116	391497	473597
63306	751956	174204
75617	731043	145762
399733	598340	429227
787571	466155	206659
749535	298995	567228
276199	918771	880542
306641	153819	746849
936590	158365	27125
259517	719184	517161
14001	699046	852178
442871	558322	846948
642722	327756	642641
725612	733397	971032
557435	58308	136214
567375	912101	680070
972026	625550	838510
834290	12869	209633
938522	375927	300136
776717	823877	489460
783870	950956	672112
746959	915275	573691
220522	439675	361831
796733	39748	772820
90390	754649	433193
5295	201539	691480
517612	16697	338074
119504	825103	806202
374402	410768	816371
706020	16380	21135
823178	257358	201653
407735	803352	19610
581159	790646	130274
43077	354126	611921
969384	747009	698653
597391	741360	318916
136136	551385	586904
716786	509318	5120
851351	271396	408859
920039	947790	616501
204281	697652	869440
685422	374487	976963
418022	641432	983548
357030	706066	489731
142239	303773	200427
343132	627580	721783
778012	818296	635929
630747	664710	292319
347631	788355	986192
86125	811231	768170
692634	416067	7554
190466	83953	942467
271185	404450	717583
528060	663043	186313
291851	256194	426670
118306	214447	44266
417049	701077	753180
501307	359915	562587
990141	665110	546427
378346	735165	548112
697844	930468	888191
448300	829355	151032
59198	211231	381826
63895	86521	301891
62029	171245	325288
304008	61902	243418
781248	653944	238318
141017	20884	460388
890388	344679	836030
235046	273266	612619
136349	806401	420554
397223	320438	695436
734863	889113	127163
143921	444271	403214
72271	807347	399582
853692	712863	434545
653269	400095	259346
152775	195057	910626
929253	32088	483706
423020	304201	211294
495655	300347	533510
660421	819395	280453
568506	882137	506411
108372	13573	791128
297879	59667	894711
260884	236821	173454
503793	748131	156892
110575	652868	366296
200520	14524	434030
717577	704937	997732
410709	647451	232675
449295	171983	656077
242894	268594	128040
803032	709046	575074
547511	468513	82885
926284	325032	849166
495677	507633	604993
229130	884912	904755
648845	632659	440759
375125	476780	425936
571953	765110	677555
438298	491752	163790
634374	605594	13901
550996	298417	297324
593644	408331	688267
788844	677855	266693
998359	583154	675641
228544	711257	97071
977155	216783	121766
694971	416050	961954
707773	440297	791578
75814	496943	243169
415801	662757	660611
541208	922011	75672
575467	291791	997455
317910	289656	718219
661035	579948	158991
858511	614416	253330
823764	702021	48962
648846	135833	376799
64426	278957	877608
332566	99849	653834
606287	865793	903812
950884	641421	751344
570528	857283	857341
76823	536001	486061
884411	701143	724608
878174	70001	615117
809671	296144	292108
944109	704001	210739
953817	183787	752524
730970	149421	460786
951972	10103	591849
640671	601410	434621
636039	745379	718199
776211	772923	649726
897649	59880	530817
472220	538479	829406
13504	36166	187155
874741	254508	765421
534894	607883	824892
637933	359520	216449
613628	264446	262556
64853	436849	404351
160561	792991	532047
569564	351385	449388
242417	47768	850924
374032	46387	410533
161274	38267	419004
121615	404060	906629
92541	124308	390192
25586	828928	733351
